,title,text
0,sleepless in seattle,sleepless in seattle comedy  drama  romance young  boy  tries  set  dad  date  death  mother  calls  radio  station  talk  ’  loneliness  soon  leads  meeting  journalist  annie  flies  seattle  write  story  yet  ends  popular  romantic  comedy
1,mission to lars,mission to lars documentary kate  spicer  brother  tom  fragile  x  syndrome  common  form  inherited  learning  disability  also  massive  fan  lars  ulrich  metallica  made  promise  would  get  meet  dream  together  went  mission
2,war for the planet of the apes,war for the planet of the apes drama  science fiction  war caesar  apes  forced  deadly  conflict  army  humans  led  ruthless  colonel  suffer  unimaginable  losses  wrestles  darker  instincts  begins  mythic  quest  avenge  kind  journey  finally  brings  face  pitted  epic  battle  determine  fate  species  future  planet
3,disconnect,disconnect drama  thriller disconnect  interweaves  multiple  storylines  people  searching  human  connection  today  ’  wired  world  poignant  turns  harrowing  touching  stories  intersect  surprising  twists  expose  shocking  reality  daily  use  technology  mediates  defines  relationships  ultimately  lives
4,birdman of alcatraz,birdman of alcatraz drama killing  prison  guard  convict  robert  stroud  faces  life  imprisonment  solitary  confinement  driven  nearly  mad  loneliness  despair  gains  new  meaning  happens  upon  helpless  baby  sparrow  exercise  yard  nurses  back  health  despite  third  grade  education  goes  become  renowned  ornithologist  achieves  greater  sense  freedom  purpose  behind  bars  people  find  outside  world
5,lennonyc,lennonyc documentary documentary  takes  intimate  look  time  lennon  yoko  ono  son  sean  spent  living  new  york  city  1970s  features  never  heard  studio  recordings  double  fantasy  sessions  seen  outtakes  concert  home  movies  recently  transferred  video  also  exclusive  interviews  ms  cooperated  extensively  production  offers  unprecedented  level  access  well  artists  worked  closely  period  including  elton  john  photographer  bob  gruen  took  iconic  photograph  front  skyline  wearing  “  ”  shirt  ).
6,half nelson,half nelson drama despite  dedication  junior  high  students  fill  classroom  idealistic  teacher  dan  dunne  leads  secret  life  addiction  majority  never  know  things  change  troubled  student  drey  makes  startling  discovery  causing  tenuous  bond  two  could  either  end  disastrously  provide  catalyst  hope
7,lezioni di cioccolato,lezioni di cioccolato comedy overview  found
8,off the charts: the song-poem story,off the charts: the song-poem story documentary like  warped  fun  house  mirror  song  poem  industry  run  parallel  mainstream  music  business  close  century  estimated  200  000  poems  recorded  since  1900  genre  durability  traced  three  deepest  american  desires  show  get  rich  quick  share  express  feelings  meet  several  songwriters  elderly  woman  young  african  man  small  town  iowan  big  time  dreams  awhile  churning  odd  compositions  cover  waterfront  obsessions  jesus  genitalia  politics  elvis  also  producers  often  known  sharks  hold  tantalizing  promise  fame  eager  customers  musicians  sit  studios  day  year  ...
9,ghayal,ghayal foreign ajay  mehra  leaves  bombay  order  train  become  international  boxer  return  new  delhi  however  found  brother  ashok  missing  decides  make  complaints  police  station  leads  frustration  go  search  still  find  later  body  accused  killing  well  illicit  relationship  sister  law  indu  jail  makes  friends  hardcore  convicts  good  heart  one  day  escape  overpowering  guards  falls  love  varsha  journalist  helped  showing  path  justice  main  villain  balwant  rai
10,no graves on boot hill,no graves on boot hill western three  men  jerry  hill  )   reno  wood  paco  white  meet  prison  cell  find  mexican  boy  condemned  death  murder  one  night  convicts  mysteriously  released  priest  father  promises  reward  30  000  real  murderer  within  ten  days  certain  guilty  others  organize  plan  leads  unmasking  killers
11,cross current,cross current crime  horror  thriller speed  boat  racer  suffers  amnesia  boating  accident  goes  isolated  villa  recuperate  relationship  wife  troubled  starts  affair  sort  another  woman  results  one  three  shot  several  twists  --  murders  come
12,the genius of marian,the genius of marian documentary genius  marian  follows  pam  white  early  stages  alzheimer  disease  son  film  maker  works  attempts  write  book  tributes  mother  artist  steele
13,moka,moka drama diane  kramer  led  one  obsession  find  driver  mocha  color  mercedes  hit  son  devastated  life  belongings  money  gun  goes  evian  learned  lives
14,vicky donor,vicky donor comedy  romance dr  baldev  chaddha  anu  kapoor  )   well  qualified  fertility  expert  runs  clinic  sperm  bank  dariyaganj  new  delhi  guarantees  high  quality  specialized  purpose  unfortunately  failed  cases  credit  successes  healthy  performing  donor  need  hour  vicky  arora  ayushmann  khurrana  young  good  looking  punjabi  boy  lajpat  nagar  son  financial  support  dolly  widow  small  beauty  parlor  home  chance  encounter  convinces  could  persuades  become  meantime  found  love  interest  ashima  roy  yami  gautam  pretty  bengali  girl  past  come  way  true
15,winning dad,winning dad  young  man  tricks  homophobic  father  camping  trip  secret  boyfriend
16,cleanflix,cleanflix documentary small  utah  based  edited  movie  company  caught  sanitizing  hollywood  copyrighted  material  film  industry  strikes  back  devastating  blow
17,ichi,ichi action  adventure  drama  history ichi  blind  entertainer  travels  countryside  traditional  japanese  guitar  walking  stick  ’  search  kind  man  brought  child  beauty  encounters  problems  every  step  way  fortunately  also  gifted  swordswoman  carries  lethal  blade  within
18,"back to back, face to face","back to back, face to face drama wang  shuangli  deputy  director  local  cultural  centre  hopes  appointed  however  old  brought  country  installed  starts  long  train  events  cronies  using  bureaucracy  try  oust  new  home  problems  father  wants  son  carry  family  name  one  child  policy  cannot  children  unless  young  daughter  certified  infirm"
19,wide awake,wide awake comedy  drama  family feel  good  comedy  laughter  excitement  fun  come  kid  joshua  thoughtful  10  year  old  looking  simple  answers  life  eternal  questions  problem  one  including  concerned  parents  5th  grade  teacher  seems  making  sense
20,me and kaminski,me and kaminski comedy  drama young  journalist  sebastian  zöllner  writing  article  artist  manuel  kaminski  hopes  dies  soon  cash
21,my name is joe,my name is joe drama  romance two  thirtysomethings  unemployed  former  alcoholic  joe  community  health  worker  sarah  start  romantic  relationship  one  toughest  glasgow  neighbourhoods
22,2 young,2 young drama  romance young  boy  working  class  family  bored  girl  rich  falling  love  soon  pregnant  teenagers  escape  disapproving  parents
